Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
111,19.302508524396615,0.7915320788412538,3.0222133919393346,351,715,2734,3800,7,2734,0,0.7194736842105263,0.1881578947368421
112,19.738549743359535,0.8034080496757602,3.067558007852902,351,715,2947,4013,7,2947,0,0.7343633192125592,0.17817094443060055
113,19.738549743359535,0.8034080496757603,3.067558007852906,324,770,2919,4013,7,2919,0,0.7273859955145776,0.1918764016944929
114,20.17982550777006,0.8153378858509223,3.113108291430795,324,770,3121,4215,7,3121,0,0.7404507710557533,0.1826809015421115
115,20.431380622876706,0.8220997096398074,3.138926164079259,284,810,3312,4406,7,3312,0,0.7517022242396731,0.18384021788470267
116,20.844906305146512,0.8331553422851674,3.1811385796342724,248,846,3508,4602,7,3508,0,0.762277270751847,0.18383311603650587
117,20.844906305146516,0.8331553422851674,3.1811385796342746,211,883,3508,4602,7,3508,0,0.762277270751847,0.19187309865275967
118,20.844906305146484,0.8331553422851674,3.1811385796342746,309,883,3410,4602,7,3410,0,0.7409821816601477,0.19187309865275967
119,20.844906305146534,0.8331553422851679,3.181138579634278,304,888,3410,4602,7,3410,0,0.7409821816601477,0.19295958279009126
120,20.974124647386923,0.8365949684343621,3.1942716976584693,304,888,3625,4817,7,3625,0,0.7525430766036952,0.18434710400664314
121,21.42506690466521,0.8485435624827865,3.2398936022070006,429,888,3707,5024,7,3707,0,0.7378582802547771,0.1767515923566879
122,22.070468995000326,0.8654999752737798,3.3046362692271583,349,968,3925,5242,7,3925,0,0.7487600152613506,0.18466234261732165
123,22.070468995000322,0.8654999752737801,3.304636269227158,270,1047,3925,5242,7,3925,0,0.7487600152613506,0.1997329263639832
124,22.070468995000326,0.8654999752737791,3.3046362692271565,384,1047,3811,5242,7,3811,0,0.7270125906142694,0.1997329263639832
125,22.071314157594983,0.8655220706669926,3.3047206334557915,518,1047,3677,5242,7,3677,0,0.7014498283098054,0.1997329263639832
126,22.071314157594998,0.8655220706669934,3.304720633455794,518,1047,3677,5242,7,3677,0,0.7014498283098054,0.1997329263639832
127,22.290402173681056,0.8712402975797661,3.326553863486384,661,1047,3762,5470,7,3762,0,0.6877513711151737,0.19140767824497257
128,22.29040217368109,0.871240297579766,3.3265538634863807,630,1078,3762,5470,7,3762,0,0.6877513711151737,0.19707495429616087
129,22.29040217368107,0.8712402975797665,3.326553863486378,630,1078,3762,5470,7,3762,0,0.6877513711151737,0.19707495429616087
130,22.290402173681084,0.8712402975797666,3.326553863486378,630,1078,3762,5470,7,3762,0,0.6877513711151737,0.19707495429616087
131,22.290402173681073,0.8712402975797661,3.3265538634863825,630,1078,3762,5470,7,3762,0,0.6877513711151737,0.19707495429616087
132,22.29040217368107,0.8712402975797665,3.32655386348638,630,1078,3762,5470,7,3762,0,0.6877513711151737,0.19707495429616087
133,22.28587891016508,0.8711224297274857,3.326103822595854,763,1078,3629,5470,7,3629,0,0.663436928702011,0.19707495429616087
134,22.285878910165135,0.8711224297274852,3.3261038225958544,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
135,22.285878910165074,0.8711224297274854,3.3261038225958517,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
136,22.285878910165113,0.8711224297274853,3.3261038225958504,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
137,22.285878910165106,0.871122429727486,3.326103822595852,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
138,22.285878910165138,0.871122429727485,3.3261038225958544,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
139,22.285878910165092,0.8711224297274864,3.3261038225958517,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
140,22.285878910165138,0.8711224297274853,3.3261038225958544,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
141,22.285878910165128,0.8711224297274855,3.3261038225958544,843,1078,3549,5470,7,3549,0,0.6488117001828153,0.19707495429616087
142,21.85191982466426,0.8597768568491378,3.282784362514889,960,1078,3749,5787,7,3749,0,0.6478313461206152,0.18627959218939003
143,21.851919824664236,0.859776856849138,3.2827843625148883,960,1078,3749,5787,7,3749,0,0.6478313461206152,0.18627959218939003
144,21.851919824664233,0.8597768568491381,3.2827843625148905,960,1078,3749,5787,7,3749,0,0.6478313461206152,0.18627959218939003
145,21.851919824664236,0.8597768568491373,3.2827843625148914,960,1078,3749,5787,7,3749,0,0.6478313461206152,0.18627959218939003
146,21.849513868916343,0.8597137465122703,3.282543395774124,1115,1078,3594,5787,7,3594,0,0.6210471747019181,0.18627959218939003
147,21.843322495607445,0.8595513306895233,3.281923262632728,1259,1078,3450,5787,7,3450,0,0.5961638154484189,0.18627959218939003
148,21.843322495607428,0.859551330689523,3.2819232626327244,1259,1078,3450,5787,7,3450,0,0.5961638154484189,0.18627959218939003
149,21.831867996320103,0.8592508089224763,3.280775815885819,1411,1078,3298,5787,7,3298,0,0.569898047347503,0.18627959218939003
150,21.82138343556693,0.8589756885179017,3.2797253561592576,1571,1078,3138,5787,7,3138,0,0.5422498703991706,0.18627959218939003
151,21.82138343556695,0.8589756885179013,3.279725356159259,1571,1078,3138,5787,7,3138,0,0.5422498703991706,0.18627959218939003
152,21.80573128862782,0.8585648859202398,3.278156837150004,1571,1078,3394,6043,7,3394,0,0.5616415687572398,0.17838821777262948
153,21.791021501561982,0.8581787266781832,3.276682410953064,1715,1078,3250,6043,7,3250,0,0.5378123448618236,0.17838821777262948
154,21.749405353566218,0.8570857545029271,3.272509244465719,1894,1078,3071,6043,7,3071,0,0.5081912957140493,0.17838821777262948
155,21.749405353566186,0.8570857545029269,3.2725092444657182,1894,1078,3071,6043,7,3071,0,0.5081912957140493,0.17838821777262948
156,21.7494053535662,0.8570857545029267,3.272509244465722,1894,1078,3071,6043,7,3071,0,0.5081912957140493,0.17838821777262948
157,21.7494053535662,0.8570857545029266,3.2725092444657182,1894,1078,3071,6043,7,3071,0,0.5081912957140493,0.17838821777262948
158,21.749405353566207,0.8570857545029263,3.27250924446572,1894,1078,3071,6043,7,3071,0,0.5081912957140493,0.17838821777262948
159,21.74940535356619,0.8570857545029273,3.272509244465719,1894,1078,3071,6043,7,3071,0,0.5081912957140493,0.17838821777262948
160,21.664236123079842,0.8548467642650448,3.2639603726483513,2040,1078,3187,6305,7,3187,0,0.505471847739889,0.17097541633624108
161,21.664236123079856,0.8548467642650448,3.2639603726483513,2040,1078,3187,6305,7,3187,0,0.505471847739889,0.17097541633624108
162,21.836302612585616,0.8593671623383698,3.2812200743828654,2218,1078,3244,6540,7,3244,0,0.4960244648318043,0.16483180428134556
163,21.791093506005907,0.8581806171402092,3.276689629080793,2407,1078,3055,6540,7,3055,0,0.46712538226299694,0.16483180428134556
164,21.749943777925672,0.857099899684887,3.2725632533422946,2589,1078,2873,6540,7,2873,0,0.4392966360856269,0.16483180428134556
165,21.88057014751886,0.8605282021196918,3.2856531353661,2589,1078,3133,6800,7,3133,0,0.4607352941176471,0.1585294117647059
