Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
73,37.72547689428815,0,1.2373213615632477,4.724317925968762,1255,3128,225,4608,0,44,181,0.048828125,0.6788194444444444
74,37.729158026963255,0,1.2374018495234436,4.724625243634964,1249,3128,231,4608,0,39,192,0.050130208333333336,0.6788194444444444
75,37.72547689428816,0,1.2373213615632477,4.724317925968762,1255,3128,225,4608,0,28,197,0.048828125,0.6788194444444444
76,37.72915802696325,0,1.2374018495234436,4.724625243634965,1249,3128,231,4608,0,46,185,0.050130208333333336,0.6788194444444444
77,37.725476894288136,0,1.237321361563248,4.724317925968764,1255,3128,225,4608,0,44,181,0.048828125,0.6788194444444444
78,37.72915802696326,0,1.2374018495234438,4.724625243634966,1249,3128,231,4608,0,39,192,0.050130208333333336,0.6788194444444444
79,37.72547689428813,0,1.2373213615632477,4.724317925968764,1255,3128,225,4608,0,37,188,0.048828125,0.6788194444444444
80,37.729158026963276,0,1.2374018495234433,4.724625243634966,1249,3128,231,4608,0,41,190,0.050130208333333336,0.6788194444444444
81,37.72547689428813,0,1.2373213615632472,4.724317925968762,1255,3128,225,4608,0,43,182,0.048828125,0.6788194444444444
82,37.729158026963255,0,1.237401849523443,4.724625243634967,1249,3128,231,4608,0,50,181,0.050130208333333336,0.6788194444444444
83,37.72547689428815,0,1.237321361563248,4.724317925968763,1255,3128,225,4608,0,39,186,0.048828125,0.6788194444444444
84,37.72915802696325,0,1.2374018495234433,4.724625243634968,1249,3128,231,4608,0,62,169,0.050130208333333336,0.6788194444444444
85,37.72547689428814,0,1.2373213615632472,4.724317925968762,1255,3128,225,4608,0,49,176,0.048828125,0.6788194444444444
86,37.72915802696325,0,1.2374018495234433,4.724625243634966,1249,3128,231,4608,0,46,185,0.050130208333333336,0.6788194444444444
