Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
21,14.787389406581026,0.662705169291779,2.5303288282049743,147,337,255,739,0,255,0,0.34506089309878213,0.456021650879567
22,15.549202074167347,0.6852747926402573,2.616503753717346,164,373,280,817,0,280,0,0.3427172582619339,0.4565483476132191
23,16.313445818809917,0.7075489460922512,2.7015505214431417,163,439,299,901,0,299,0,0.3318534961154273,0.4872364039955605
24,17.09891776167005,0.7300822124546028,2.787586629372119,192,482,318,992,0,318,0,0.32056451612903225,0.48588709677419356
25,18.180328511041047,0.7605489471725394,2.903914161931516,217,543,323,1083,0,323,0,0.2982456140350877,0.5013850415512465
26,19.011424875210178,0.7835543578084287,2.9917530025412753,221,630,325,1176,0,325,0,0.2763605442176871,0.5357142857142857
27,19.865011727887556,0.8068359406286026,3.080646318763756,240,698,330,1268,0,330,0,0.26025236593059936,0.5504731861198738
28,20.708404047836744,0.8295140987279571,3.1672356496885614,269,758,340,1367,0,340,0,0.24871982443306512,0.5544989027066569
29,21.237827845160155,0.8435925762113747,3.220989836443428,272,842,364,1478,0,364,0,0.2462787550744249,0.5696887686062246
30,21.99068522182223,0.8634128870308145,3.2966673868449297,293,894,395,1582,0,395,0,0.24968394437420985,0.5651074589127687
31,22.907908764167924,0.8872574370885892,3.38771021433825,327,961,413,1701,0,413,0,0.24279835390946503,0.5649617871840094
32,23.83706411693841,0.9110898217124694,3.478706591993066,337,1060,424,1821,0,424,0,0.2328390993959363,0.5820977484898407
33,24.48797541674346,0.9276011368482342,3.541749795238713,349,1164,434,1947,0,434,0,0.2229070364663585,0.5978428351309707
34,25.35666616827162,0.9494106967592373,3.625022660353452,387,1228,462,2077,0,462,0,0.222436206066442,0.5912373615792008
35,26.2452476239229,0.9714634562327057,3.7092241056157853,429,1319,459,2207,0,459,0,0.20797462618939738,0.5976438604440417
36,26.98999180196427,0.9897553400427229,3.7790658437994886,429,1432,488,2349,0,488,0,0.2077479778629204,0.6096211153682418
37,27.781124671978958,1.0090032554545296,3.8525578844627506,454,1524,515,2493,0,515,0,0.20657841957480946,0.6113116726835138
38,28.51810767293262,1.0267699615142185,3.920394398508833,484,1610,556,2650,0,556,0,0.20981132075471698,0.6075471698113207
