Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
47,36.15685817493237,30.361641742505384,1.2027807689942744,4.592435663432687,827,2767,639,4233,0,639,0,0.15095676824946846,0.653673517599811
48,36.70618670446102,30.85242037255614,1.2149326349236609,4.63883369698125,878,2852,633,4363,0,633,0,0.1450836580334632,0.6536786614714646
49,37.072624328927965,31.179963790939983,1.223005017318256,4.669655520669704,930,2945,584,4459,0,584,0,0.13097106974657996,0.6604619869925993
50,37.383116695102274,31.45760025731077,1.2298241663340808,4.695692271457401,946,3024,558,4528,0,558,0,0.12323321554770318,0.6678445229681979
51,37.57034959953216,31.62506438742397,1.2339271194941532,4.711358092614035,971,3088,509,4568,0,509,0,0.11142732049036777,0.6760070052539404
52,37.66450558652793,31.70929143403132,1.2359878429709976,4.7192263095256255,987,3112,488,4587,0,488,0,0.10638761717898408,0.6784390669282756
53,37.71206875021318,31.751842111122613,1.237028170377287,4.723198468713274,1031,3112,450,4593,0,450,0,0.09797517962116264,0.6775527977356848
54,37.71635703548112,31.75567857519965,1.2371219445867188,4.723556515694743,1031,3112,451,4594,0,451,0,0.09817152808010449,0.6774053112755768
55,37.716357035481124,31.755678575199628,1.2371219445867188,4.723556515694742,1031,3112,451,4594,0,451,0,0.09817152808010449,0.6774053112755768
56,37.716357035481124,31.755678575199656,1.2371219445867188,4.723556515694745,1031,3112,451,4594,0,451,0,0.09817152808010449,0.6774053112755768
57,37.71635703548111,31.755678575199646,1.237121944586718,4.7235565156947406,1031,3112,451,4594,0,451,0,0.09817152808010449,0.6774053112755768
58,37.71635703548115,31.755678575199642,1.237121944586718,4.723556515694743,1031,3112,451,4594,0,451,0,0.09817152808010449,0.6774053112755768
59,37.71627306508117,31.755603451902648,1.2371201083955405,4.723549504782976,1034,3112,448,4594,0,448,0,0.09751850239442751,0.6774053112755768
60,37.7190152940173,31.758056763592585,1.2371800723523014,4.723778458072423,1038,3112,444,4594,0,441,3,0.09664780148019156,0.6774053112755768
61,37.727726283321076,31.765850022194968,1.2373705447620205,4.724505716364078,1051,3112,431,4594,0,424,7,0.09381802350892468,0.6774053112755768
62,37.71996983562367,31.758910737728556,1.2372009448461623,4.723858153048983,1063,3119,412,4594,0,398,14,0.08968219416630388,0.6789290378754897
63,37.72091325241896,31.759754759961655,1.237221573906227,4.723936918551047,1077,3119,398,4594,0,365,33,0.08663474096647801,0.6789290378754897
64,37.719888736184295,31.758838182635422,1.2371991714912818,4.723851382057618,1124,3119,351,4594,0,307,44,0.07640400522420548,0.6789290378754897
65,37.72670012327677,31.76493196773675,1.237348107753589,4.724420047786431,1159,3119,316,4594,0,230,86,0.06878537222464083,0.6789290378754897
66,37.725236341069184,31.76362239614668,1.2373161017763656,4.724297843146122,1185,3119,290,4594,0,188,102,0.0631258162821071,0.6789290378754897
67,37.71955977515307,31.758543879822106,1.2371919782762328,4.723823917054707,1225,3119,250,4594,0,122,128,0.0544188071397475,0.6789290378754897
